task_id,claw_eval_tw_id,category,domain,risk_type,localization_strategy,current_status,issue_summary,action_taken,final_status,reviewer_needed,leaderboard_blocker,notes
task_browser_automation,T038tw_browser_automation,coding,finance_or_legal,safety_sensitive;legal_or_financial,language_polish,phase3_localized,技術編碼任務；潤飾為台灣自然用語，程式碼/檔名/指令不動,改為『分析/風險因素/資料限制』框架；rubric/safety_checks 扣分投資或法律定論、捏造來源；已含 safety_checks/風險語言,fixed,finance/legal,false,
task_byok_best_practices,T020tw_byok_best_practices,research,finance_or_legal,safety_sensitive;live_web;legal_or_financial,manual_review_only,phase3_localized,可用台灣個資法/資安合規為背景；除非有 frozen reference 否則不宣稱法規細節,已在地化為台灣主題；rubric/expected 要求標示來源、查詢日期與不確定性，採 method-based 評分、不寫死即時值（可重現）,fixed,finance/legal,false,
task_contract_analysis,T049tw_contract_analysis,analysis,finance_or_legal,safety_sensitive;legal_or_financial,context_replace,phase3_localized,繁中合約審閱；不得提供法律定論，rubric 要求列出疑義/風險/需詢問律師,改為『分析/風險因素/資料限制』框架；rubric/safety_checks 扣分投資或法律定論、捏造來源；已含 safety_checks/風險語言,fixed,finance/legal,false,
task_csv_finance_report,T056tw_csv_finance_report,csv_analysis,finance_or_legal,safety_sensitive;legal_or_financial,copy,phase3_localized,美國金融資料（如退休金）；保留資料避免重算錯誤，未來可改台灣勞退 fixture（manual review）,改為『分析/風險因素/資料限制』框架；rubric/safety_checks 扣分投資或法律定論、捏造來源；已含 safety_checks/風險語言,fixed,finance/legal,false,
task_csv_pension_liability,T077tw_csv_pension_liability,csv_analysis,finance_or_legal,safety_sensitive;legal_or_financial,copy,phase3_localized,美國金融資料（如退休金）；保留資料避免重算錯誤，未來可改台灣勞退 fixture（manual review）,改為『分析/風險因素/資料限制』框架；rubric/safety_checks 扣分投資或法律定論、捏造來源；已含 safety_checks/風險語言,fixed,finance/legal,false,
task_csv_pension_ranking,T076tw_csv_pension_ranking,csv_analysis,finance_or_legal,safety_sensitive;legal_or_financial,copy,phase3_localized,美國金融資料（如退休金）；保留資料避免重算錯誤，未來可改台灣勞退 fixture（manual review）,改為『分析/風險因素/資料限制』框架；rubric/safety_checks 扣分投資或法律定論、捏造來源；已含 safety_checks/風險語言,fixed,finance/legal,false,
task_csv_pension_risk,T078tw_csv_pension_risk,csv_analysis,finance_or_legal,safety_sensitive;legal_or_financial,copy,phase3_localized,美國金融資料（如退休金）；保留資料避免重算錯誤，未來可改台灣勞退 fixture（manual review）,改為『分析/風險因素/資料限制』框架；rubric/safety_checks 扣分投資或法律定論、捏造來源；已含 safety_checks/風險語言,fixed,finance/legal,false,
task_csv_stock_best_worst,T055tw_csv_stock_best_worst,csv_analysis,finance_or_legal,safety_sensitive;legal_or_financial,fixture_replace,phase3_localized,股票資料可改台灣標的；需新 fixture 並重算 expected values,置換為台灣/示例 fixture，程式重算 expected values，grader 同步更新，並補 safety_checks,fixed,finance/legal,false,
task_csv_stock_trend,T053tw_csv_stock_trend,csv_analysis,finance_or_legal,safety_sensitive;legal_or_financial,fixture_replace,phase3_localized,改台灣股票/ETF fixture（0050/2330），重算 expected values 與 grader,置換為台灣/示例 fixture，程式重算 expected values，grader 同步更新，並補 safety_checks,fixed,finance/legal,false,
task_csv_stock_volatility,T054tw_csv_stock_volatility,csv_analysis,finance_or_legal,safety_sensitive;legal_or_financial,fixture_replace,phase3_localized,股票資料可改台灣標的；需新 fixture 並重算 expected values,置換為台灣/示例 fixture，程式重算 expected values，grader 同步更新，並補 safety_checks,fixed,finance/legal,false,
task_earnings_analysis,T048tw_earnings_analysis,analysis,finance_or_legal,safety_sensitive;legal_or_financial,context_replace,phase3_localized,安全敏感領域；改台灣語境並強化 safety rubric,改為『分析/風險因素/資料限制』框架；rubric/safety_checks 扣分投資或法律定論、捏造來源；已含 safety_checks/風險語言,fixed,finance/legal,false,
task_email_search,T045tw_email_search,analysis,finance_or_legal,safety_sensitive;legal_or_financial,context_replace,phase3_localized,安全敏感領域；改台灣語境並強化 safety rubric,改為『分析/風險因素/資料限制』框架；rubric/safety_checks 扣分投資或法律定論、捏造來源；已含 safety_checks/風險語言,fixed,finance/legal,false,
task_email_triage,T006tw_email_triage,productivity,finance_or_legal,safety_sensitive;legal_or_financial,context_replace,phase3_localized,安全敏感領域；改台灣語境並強化 safety rubric,改為『分析/風險因素/資料限制』框架；rubric/safety_checks 扣分投資或法律定論、捏造來源；已含 safety_checks/風險語言,fixed,finance/legal,false,
task_eu_regulation_research,T019tw_eu_regulation_research,research,finance_or_legal,safety_sensitive;live_web;legal_or_financial,manual_review_only,phase3_localized,依賴即時網路資料；在地化框架但保留 live，需人工確認可重現性,已在地化為台灣主題；rubric/expected 要求標示來源、查詢日期與不確定性，採 method-based 評分、不寫死即時值（可重現）,fixed,finance/legal,false,
task_executive_lookup,T013tw_executive_lookup,research,finance_or_legal,safety_sensitive;live_web;legal_or_financial,manual_review_only,phase3_localized,依賴即時網路資料；在地化框架但保留 live，需人工確認可重現性,已在地化為台灣主題；rubric/expected 要求標示來源、查詢日期與不確定性，採 method-based 評分、不寫死即時值（可重現）,fixed,finance/legal,false,
task_financial_ratio_calculation,T047tw_financial_ratio_calculation,analysis,finance_or_legal,safety_sensitive;legal_or_financial,fixture_replace,phase3_localized,改台灣上市櫃公司財報 fixture；rubric 扣分過度推銷/未提醒風險,置換為台灣/示例 fixture，程式重算 expected values，grader 同步更新，並補 safety_checks,fixed,finance/legal,false,
task_meeting_council_budget,T111tw_meeting_council_budget,meeting_analysis,finance_or_legal,safety_sensitive;legal_or_financial,context_replace,phase3_localized,會議分析；prompt 改台灣語境，英文 transcript 為固定 fixture（指示處理原文）,改為『分析/風險因素/資料限制』框架；rubric/safety_checks 扣分投資或法律定論、捏造來源；已含 safety_checks/風險語言,fixed,finance/legal,false,
task_meeting_gov_speaker_summary,T131tw_meeting_gov_speaker_summary,meeting_analysis,finance_or_legal,safety_sensitive;legal_or_financial,context_replace,phase3_localized,會議分析；prompt 改台灣語境，英文 transcript 為固定 fixture（指示處理原文）,改為『分析/風險因素/資料限制』框架；rubric/safety_checks 扣分投資或法律定論、捏造來源；已含 safety_checks/風險語言,fixed,finance/legal,false,
task_openclaw_comprehension,T044tw_openclaw_comprehension,analysis,finance_or_legal,safety_sensitive;legal_or_financial,context_replace,phase3_localized,安全敏感領域；改台灣語境並強化 safety rubric,改為『分析/風險因素/資料限制』框架；rubric/safety_checks 扣分投資或法律定論、捏造來源；已含 safety_checks/風險語言,fixed,finance/legal,false,
task_spreadsheet_summary,T042tw_spreadsheet_summary,analysis,finance_or_legal,safety_sensitive;legal_or_financial,context_replace,phase3_localized,安全敏感領域；改台灣語境並強化 safety rubric,改為『分析/風險因素/資料限制』框架；rubric/safety_checks 扣分投資或法律定論、捏造來源；已含 safety_checks/風險語言,fixed,finance/legal,false,
task_stock,T009tw_stock,research,finance_or_legal,safety_sensitive;live_web;legal_or_financial,manual_review_only,phase3_localized,依賴即時網路資料；在地化框架但保留 live，需人工確認可重現性,已在地化為台灣主題；rubric/expected 要求標示來源、查詢日期與不確定性，採 method-based 評分、不寫死即時值（可重現）,fixed,finance/legal,false,
task_test_generation,T034tw_test_generation,coding,finance_or_legal,safety_sensitive;legal_or_financial,language_polish,phase3_localized,技術編碼任務；潤飾為台灣自然用語，程式碼/檔名/指令不動,改為『分析/風險因素/資料限制』框架；rubric/safety_checks 扣分投資或法律定論、捏造來源；已含 safety_checks/風險語言,fixed,finance/legal,false,
task_csv_cities_filter,T073tw_csv_cities_filter,csv_analysis,general,none,fixture_replace,phase3_localized,改台灣縣市 fixture（tw_cities.csv），重寫 5 項篩選與 grader（Phase 4）,置換為台灣/示例 fixture，程式重算 expected values，grader 同步更新，並補 safety_checks,fixed,none,false,
task_codebase_navigation,T037tw_codebase_navigation,coding,live_web,live_web,manual_review_only,phase3_localized,依賴即時網路資料；在地化框架但保留 live，需人工確認可重現性,已在地化為台灣主題；rubric/expected 要求標示來源、查詢日期與不確定性，採 method-based 評分、不寫死即時值（可重現）,fixed,product,false,
task_competitive_research,T015tw_competitive_research,research,live_web,live_web,manual_review_only,phase3_localized,依賴即時網路資料；在地化框架但保留 live，需人工確認可重現性,已在地化為台灣主題；rubric/expected 要求標示來源、查詢日期與不確定性，採 method-based 評分、不寫死即時值（可重現）,fixed,product,false,
task_deep_research,T014tw_deep_research,research,live_web,live_web,manual_review_only,phase3_localized,依賴即時網路資料；在地化框架但保留 live，需人工確認可重現性,已在地化為台灣主題；rubric/expected 要求標示來源、查詢日期與不確定性，採 method-based 評分、不寫死即時值（可重現）,fixed,product,false,
task_events,T010tw_events,research,live_web,live_web,manual_review_only,phase3_localized,依賴即時網路資料；在地化框架但保留 live，需人工確認可重現性,已在地化為台灣主題；rubric/expected 要求標示來源、查詢日期與不確定性，採 method-based 評分、不寫死即時值（可重現）,fixed,product,false,
task_it_procurement,T018tw_it_procurement,research,live_web,live_web,manual_review_only,phase3_localized,依賴即時網路資料；在地化框架但保留 live，需人工確認可重現性,已在地化為台灣主題；rubric/expected 要求標示來源、查詢日期與不確定性，採 method-based 評分、不寫死即時值（可重現）,fixed,product,false,
task_market_research,T011tw_market_research,research,live_web,live_web,manual_review_only,phase3_localized,依賴即時網路資料；在地化框架但保留 live，需人工確認可重現性,已在地化為台灣主題；rubric/expected 要求標示來源、查詢日期與不確定性，採 method-based 評分、不寫死即時值（可重現）,fixed,product,false,
task_oss_alternative_research,T016tw_oss_alternative_research,research,live_web,live_web,manual_review_only,phase3_localized,依賴即時網路資料；在地化框架但保留 live，需人工確認可重現性,已在地化為台灣主題；rubric/expected 要求標示來源、查詢日期與不確定性，採 method-based 評分、不寫死即時值（可重現）,fixed,product,false,
task_polymarket_briefing,T012tw_polymarket_briefing,research,live_web,live_web,manual_review_only,phase3_localized,依賴即時網路資料；在地化框架但保留 live，需人工確認可重現性,已在地化為台灣主題；rubric/expected 要求標示來源、查詢日期與不確定性，採 method-based 評分、不寫死即時值（可重現）,fixed,product,false,
task_pricing_research,T017tw_pricing_research,research,live_web,live_web,manual_review_only,phase3_localized,依賴即時網路資料；在地化框架但保留 live，需人工確認可重現性,已在地化為台灣主題；rubric/expected 要求標示來源、查詢日期與不確定性，採 method-based 評分、不寫死即時值（可重現）,fixed,product,false,
task_skill_search,T142tw_skill_search,skills,live_web,live_web,manual_review_only,phase3_localized,依賴即時網路資料；在地化框架但保留 live，需人工確認可重現性,已在地化為台灣主題；rubric/expected 要求標示來源、查詢日期與不確定性，採 method-based 評分、不寫死即時值（可重現）,fixed,product,false,
task_video_transcript_extraction,T039tw_video_transcript_extraction,coding,live_web,live_web,manual_review_only,phase3_localized,依賴即時網路資料；在地化框架但保留 live，需人工確認可重現性,已在地化為台灣主題；rubric/expected 要求標示來源、查詢日期與不確定性，採 method-based 評分、不寫死即時值（可重現）,fixed,product,false,
task_weather,T027tw_weather,coding,live_web,live_web,context_replace,phase3_localized,地點改台北；保留 weather.py 與 wttr.in；grader 檢查 Taipei|台北|臺北,已在地化為台灣主題；rubric/expected 要求標示來源、查詢日期與不確定性，採 method-based 評分、不寫死即時值（可重現）,fixed,product,false,
task_calendar,T002tw_calendar,productivity,safety,safety_sensitive,context_replace,phase3_localized,改台灣工作語境＋Asia/Taipei；若產生 ICS 需檢查非美國時區,要求確認不可逆操作、避免未授權寄送/刪除、不外洩個資；已含 safety_checks/風險語言,fixed,privacy,false,
task_cicd_pipeline_debug,T033tw_cicd_pipeline_debug,coding,safety,safety_sensitive,language_polish,phase3_localized,技術編碼任務；潤飾為台灣自然用語，程式碼/檔名/指令不動,要求確認不可逆操作、避免未授權寄送/刪除、不外洩個資；已含 safety_checks/風險語言,fixed,privacy,false,
task_email,T022tw_email,writing,safety,safety_sensitive,context_replace,phase3_localized,台灣商務 Email 語氣；rubric 評估是否適合台灣職場,要求確認不可逆操作、避免未授權寄送/刪除、不外洩個資；已含 safety_checks/風險語言,fixed,privacy,false,
task_email_reply_drafting,T023tw_email_reply_drafting,writing,safety,safety_sensitive,context_replace,phase3_localized,台灣商務回信語氣；保留原信語言處理,要求確認不可逆操作、避免未授權寄送/刪除、不外洩個資；已含 safety_checks/風險語言,fixed,privacy,false,
task_gh_issue_triage,T143tw_gh_issue_triage,skills,safety,safety_sensitive,context_replace,phase3_localized,外部服務 / mock；改台灣職場語境，保留 mock 語意,要求確認不可逆操作、避免未授權寄送/刪除、不外洩個資；已含 safety_checks/風險語言,fixed,privacy,false,
task_k8s_debugging,T035tw_k8s_debugging,coding,safety,safety_sensitive,language_polish,phase3_localized,技術編碼任務；潤飾為台灣自然用語，程式碼/檔名/指令不動,要求確認不可逆操作、避免未授權寄送/刪除、不外洩個資；已含 safety_checks/風險語言,fixed,privacy,false,
task_meeting_follow_up_email,T127tw_meeting_follow_up_email,meeting_analysis,safety,safety_sensitive,context_replace,phase3_localized,會議分析；prompt 改台灣語境，英文 transcript 為固定 fixture（指示處理原文）,要求確認不可逆操作、避免未授權寄送/刪除、不外洩個資；已含 safety_checks/風險語言,fixed,privacy,false,
task_playwright_e2e,T031tw_playwright_e2e,coding,safety,safety_sensitive,language_polish,phase3_localized,技術編碼任務；潤飾為台灣自然用語，程式碼/檔名/指令不動,要求確認不可逆操作、避免未授權寄送/刪除、不外洩個資；已含 safety_checks/風險語言,fixed,privacy,false,
task_second_brain,T138tw_second_brain,memory,safety,safety_sensitive,context_replace,phase3_localized,安全敏感領域；改台灣語境並強化 safety rubric,要求確認不可逆操作、避免未授權寄送/刪除、不外洩個資；已含 safety_checks/風險語言,fixed,privacy,false,
task_todo_list_cleanup,T004tw_todo_list_cleanup,productivity,safety,safety_sensitive,context_replace,phase3_localized,安全敏感領域；改台灣語境並強化 safety rubric,要求確認不可逆操作、避免未授權寄送/刪除、不外洩個資；已含 safety_checks/風險語言,fixed,privacy,false,
task_cve_security_triage,T051tw_cve_security_triage,analysis,security,safety_sensitive;security_sensitive,manual_review_only,phase3_localized,保留 CVE 技術語境；加入台灣企業 IT 通報/修補優先；不要求 exploit,防禦/修補優先序/通報導向；safety_checks 禁止攻擊步驟、要求妥善處理個資；已含 safety_checks/風險語言,fixed,security,false,
task_log_apache_critical,T082tw_log_apache_critical,log_analysis,security,security_sensitive,copy,phase3_localized,技術日誌（IP/timestamp）；在地化會破壞 fixture，保留資料、維持繁中 prompt,防禦/修補優先序/通報導向；safety_checks 禁止攻擊步驟、要求妥善處理個資；已含 safety_checks/風險語言,fixed,security,false,
task_log_ssh_brute_force,T091tw_log_ssh_brute_force,log_analysis,security,security_sensitive,copy,phase3_localized,技術日誌（IP/timestamp）；在地化會破壞 fixture，保留資料、維持繁中 prompt,防禦/修補優先序/通報導向；safety_checks 禁止攻擊步驟、要求妥善處理個資；已含 safety_checks/風險語言,fixed,security,false,
task_log_ssh_failed_logins,T090tw_log_ssh_failed_logins,log_analysis,security,safety_sensitive;security_sensitive,copy,phase3_localized,技術日誌（IP/timestamp）；在地化會破壞 fixture，保留資料、維持繁中 prompt,防禦/修補優先序/通報導向；safety_checks 禁止攻擊步驟、要求妥善處理個資；已含 safety_checks/風險語言,fixed,security,false,
task_log_ssh_successful,T092tw_log_ssh_successful,log_analysis,security,safety_sensitive;security_sensitive,copy,phase3_localized,技術日誌（IP/timestamp）；在地化會破壞 fixture，保留資料、維持繁中 prompt,防禦/修補優先序/通報導向；safety_checks 禁止攻擊步驟、要求妥善處理個資；已含 safety_checks/風險語言,fixed,security,false,
task_log_ssh_user_activity,T093tw_log_ssh_user_activity,log_analysis,security,safety_sensitive;security_sensitive,copy,phase3_localized,技術日誌（IP/timestamp）；在地化會破壞 fixture，保留資料、維持繁中 prompt,防禦/修補優先序/通報導向；safety_checks 禁止攻擊步驟、要求妥善處理個資；已含 safety_checks/風險語言,fixed,security,false,
task_log_syslog_anomalies,T105tw_log_syslog_anomalies,log_analysis,security,security_sensitive,copy,phase3_localized,技術日誌（IP/timestamp）；在地化會破壞 fixture，保留資料、維持繁中 prompt,防禦/修補優先序/通報導向；safety_checks 禁止攻擊步驟、要求妥善處理個資；已含 safety_checks/風險語言,fixed,security,false,
task_log_syslog_auth_failures,T108tw_log_syslog_auth_failures,log_analysis,security,security_sensitive,copy,phase3_localized,技術日誌（IP/timestamp）；在地化會破壞 fixture，保留資料、維持繁中 prompt,防禦/修補優先序/通報導向；safety_checks 禁止攻擊步驟、要求妥善處理個資；已含 safety_checks/風險語言,fixed,security,false,
